lb_atom,lb_substituent_1,lb_substituent_2,linker,la_substituent_1,la_substituent_2,fragment_tokens,raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,is_unique_valid,generation_count,snn_to_train,novel_vs_train,novel_vs_all_seed,novel_vs_templates,novel_vs_all_reference,stereo_novel_vs_train,stereo_novel_vs_all_reference,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,no_negative_flags,is_strict_flp_like,is_novel_flp_like,is_final_candidate,is_fragment_candidate,generation_seed,sample_count
P,mesityl,tert_butyl,C4,pentafluorophenyl,pentafluorophenyl,<LB_P><LB1_mesityl><LB2_tert_butyl><LINKER_C4><LA1_pentafluorophenyl><LA2_pentafluorophenyl>,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(C)(C)C)c(C)c1,True,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(C)(C)C)c(C)c1,Cc1cc(C)c(P(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(C)(C)C)c(C)c1,[],True,1,0.7073170731707317,True,True,False,False,True,False,True,[],0,41,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,1
P,phenyl,mesityl,C4,phenyl,pentafluorophenyl,<LB_P><LB1_phenyl><LB2_mesityl><LINKER_C4><LA1_phenyl><LA2_pentafluorophenyl>,Cc1cc(C)c(P(CCCCB(c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c(C)c1,True,Cc1cc(C)c(P(CCCCB(c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c(C)c1,Cc1cc(C)c(P(CCCCB(c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c(C)c1,[],True,1,0.7045454545454546,True,True,False,False,True,False,True,[],0,38,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,2
P,mesityl,cyclohexyl,C6,pentafluorophenyl,pentachlorophenyl,<LB_P><LB1_mesityl><LB2_cyclohexyl><LINKER_C6><LA1_pentafluorophenyl><LA2_pentachlorophenyl>,Cc1cc(C)c(P(CCCCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2)c(C)c1,True,Cc1cc(C)c(P(CCCCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2)c(C)c1,Cc1cc(C)c(P(CCCCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2)c(C)c1,[],True,1,0.5471698113207547,True,True,False,False,True,False,True,[],0,45,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True,101,1
P,mesityl,isopropyl,C5,mesityl,pentafluorophenyl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C5><LA1_mesityl><LA2_pentafluorophenyl>,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,[],True,1,0.6590909090909091,True,True,False,False,True,False,True,[],0,39,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True,101,2
P,phenyl,mesityl,C1,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_mesityl><LINKER_C1><LA1_phenyl><LA2_phenyl>,Cc1cc(C)c(P(CB(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,Cc1cc(C)c(P(CB(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,Cc1cc(C)c(P(CB(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,[],True,1,0.4222222222222222,True,True,False,False,True,False,True,[],0,30,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,1
P,mesityl,cyclohexyl,C1,phenyl,p_tolyl,<LB_P><LB1_mesityl><LB2_cyclohexyl><LINKER_C1><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)C2CCCCC2)c2ccccc2)cc1,True,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)C2CCCCC2)c2ccccc2)cc1,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)C2CCCCC2)c2ccccc2)cc1,[],True,1,0.41509433962264153,True,True,False,False,True,False,True,[],0,31,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,1
P,tert_butyl,cyclohexyl,C2,mesityl,bis_cf3_phenyl,<LB_P><LB1_tert_butyl><LB2_cyclohexyl><LINKER_C2><LA1_mesityl><LA2_bis_cf3_phenyl>,Cc1cc(C)c(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C)c1,True,Cc1cc(C)c(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C)c1,Cc1cc(C)c(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C)c1,[],True,1,0.40384615384615385,True,True,False,False,True,False,True,[],0,37,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,2
P,phenyl,mesityl,C4,phenyl,mesityl,<LB_P><LB1_phenyl><LB2_mesityl><LINKER_C4><LA1_phenyl><LA2_mesityl>,Cc1cc(C)c(B(CCCCP(c2ccccc2)c2c(C)cc(C)cc2C)c2ccccc2)c(C)c1,True,Cc1cc(C)c(B(CCCCP(c2ccccc2)c2c(C)cc(C)cc2C)c2ccccc2)c(C)c1,Cc1cc(C)c(B(CCCCP(c2ccccc2)c2c(C)cc(C)cc2C)c2ccccc2)c(C)c1,[],True,1,0.5434782608695652,True,True,False,False,True,False,True,[],0,36,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,2
P,mesityl,isopropyl,C1,pentachlorophenyl,bis_cf3_phenyl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C1><LA1_pentachlorophenyl><LA2_bis_cf3_phenyl>,Cc1cc(C)c(P(CB(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,True,Cc1cc(C)c(P(CB(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,Cc1cc(C)c(P(CB(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,[],True,1,0.46153846153846156,True,True,False,False,True,False,True,[],0,40,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,1
N,methyl,ethyl,C2,mesityl,pentafluorophenyl,<LB_N><LB1_methyl><LB2_ethyl><LINKER_C2><LA1_mesityl><LA2_pentafluorophenyl>,CCN(C)CCB(c1c(C)cc(C)cc1C)c1c(F)c(F)c(F)c(F)c1F,True,CCN(C)CCB(c1c(C)cc(C)cc1C)c1c(F)c(F)c(F)c(F)c1F,CCN(C)CCB(c1c(C)cc(C)cc1C)c1c(F)c(F)c(F)c(F)c1F,[],True,1,0.4888888888888889,True,True,False,False,True,False,True,[],0,27,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,1
N,isopropyl,isopropyl,C5,mesityl,pentafluorophenyl,<LB_N><LB1_isopropyl><LB2_isopropyl><LINKER_C5><LA1_mesityl><LA2_pentafluorophenyl>,Cc1cc(C)c(B(CCCCCN(C(C)C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,Cc1cc(C)c(B(CCCCCN(C(C)C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(B(CCCCCN(C(C)C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,[],True,1,0.5217391304347826,True,True,False,False,True,False,True,[],0,33,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True,101,1
P,tert_butyl,isopropyl,C6,p_tolyl,pentafluorophenyl,<LB_P><LB1_tert_butyl><LB2_isopropyl><LINKER_C6><LA1_p_tolyl><LA2_pentafluorophenyl>,Cc1ccc(B(CCCCCCP(C(C)C)C(C)(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,True,Cc1ccc(B(CCCCCCP(C(C)C)C(C)(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,Cc1ccc(B(CCCCCCP(C(C)C)C(C)(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,[],True,1,0.46,True,True,False,False,True,False,True,[],0,33,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True,101,1
P,mesityl,cyclohexyl,C5,p_tolyl,pentachlorophenyl,<LB_P><LB1_mesityl><LB2_cyclohexyl><LINKER_C5><LA1_p_tolyl><LA2_pentachlorophenyl>,Cc1ccc(B(CCCCCP(c2c(C)cc(C)cc2C)C2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,Cc1ccc(B(CCCCCP(c2c(C)cc(C)cc2C)C2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,Cc1ccc(B(CCCCCP(c2c(C)cc(C)cc2C)C2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,[],True,1,0.4444444444444444,True,True,False,False,True,False,True,[],0,40,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True,101,1
N,ethyl,isopropyl,C3,pentafluorophenyl,pentafluorophenyl,<LB_N><LB1_ethyl><LB2_isopropyl><LINKER_C3><LA1_pentafluorophenyl><LA2_pentafluorophenyl>,CCN(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)C,True,CCN(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)C,CCN(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)C,[],True,1,0.4186046511627907,True,True,False,False,True,False,True,[],0,32,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],[],[],LA_LB_no_negative_flags,4,True,True,False,False,True,101,2
P,mesityl,isopropyl,C2,p_tolyl,pentafluorophenyl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C2><LA1_p_tolyl><LA2_pentafluorophenyl>,Cc1ccc(B(CCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,True,Cc1ccc(B(CCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,Cc1ccc(B(CCP(c2c(C)cc(C)cc2C)C(C)C)c2c(F)c(F)c(F)c(F)c2F)cc1,[],True,1,0.5,True,True,False,False,True,False,True,[],0,34,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,1
P,mesityl,isopropyl,C1,phenyl,bis_cf3_phenyl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C1><LA1_phenyl><LA2_bis_cf3_phenyl>,Cc1cc(C)c(P(CB(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)C)c(C)c1,True,Cc1cc(C)c(P(CB(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)C)c(C)c1,Cc1cc(C)c(P(CB(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)C)c(C)c1,[],True,1,0.45652173913043476,True,True,False,False,True,False,True,[],0,35,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,1
P,tert_butyl,tert_butyl,C2,phenyl,mesityl,<LB_P><LB1_tert_butyl><LB2_tert_butyl><LINKER_C2><LA1_phenyl><LA2_mesityl>,Cc1cc(C)c(B(CCP(C(C)(C)C)C(C)(C)C)c2ccccc2)c(C)c1,True,Cc1cc(C)c(B(CCP(C(C)(C)C)C(C)(C)C)c2ccccc2)c(C)c1,Cc1cc(C)c(B(CCP(C(C)(C)C)C(C)(C)C)c2ccccc2)c(C)c1,[],True,1,0.4222222222222222,True,True,False,False,True,False,True,[],0,27,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,2
P,phenyl,phenyl,C6,mesityl,pentafluorophenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C6><LA1_mesityl><LA2_pentafluorophenyl>,Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,[],True,1,0.75,True,True,False,False,True,False,True,[],0,40,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True,101,1
P,phenyl,cyclohexyl,C2,phenyl,pentachlorophenyl,<LB_P><LB1_phenyl><LB2_cyclohexyl><LINKER_C2><LA1_phenyl><LA2_pentachlorophenyl>,Clc1c(Cl)c(Cl)c(B(CCP(c2ccccc2)C2CCCCC2)c2ccccc2)c(Cl)c1Cl,True,Clc1c(Cl)c(Cl)c(B(CCP(c2ccccc2)C2CCCCC2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(CCP(c2ccccc2)C2CCCCC2)c2ccccc2)c(Cl)c1Cl,[],True,1,0.5,True,True,False,False,True,False,True,[],0,33,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,2
P,tert_butyl,isopropyl,C5,phenyl,pentachlorophenyl,<LB_P><LB1_tert_butyl><LB2_isopropyl><LINKER_C5><LA1_phenyl><LA2_pentachlorophenyl>,CC(C)P(CCCCCB(c1ccccc1)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,True,CC(C)P(CCCCCB(c1ccccc1)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,CC(C)P(CCCCCB(c1ccccc1)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,[],True,1,0.41509433962264153,True,True,False,False,True,False,True,[],0,31,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True,101,1
P,cyclohexyl,isopropyl,C6,phenyl,mesityl,<LB_P><LB1_cyclohexyl><LB2_isopropyl><LINKER_C6><LA1_phenyl><LA2_mesityl>,Cc1cc(C)c(B(CCCCCCP(C(C)C)C2CCCCC2)c2ccccc2)c(C)c1,True,Cc1cc(C)c(B(CCCCCCP(C(C)C)C2CCCCC2)c2ccccc2)c(C)c1,Cc1cc(C)c(B(CCCCCCP(C(C)C)C2CCCCC2)c2ccccc2)c(C)c1,[],True,1,0.4067796610169492,True,True,False,False,True,False,True,[],0,32,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True,101,2
