token,P0_frequency,P5_frequency,frequency_difference,absolute_difference
2,0.047820257504666216,0.04780849416020963,-1.1763344456586222e-05,1.1763344456586222e-05
[N],0.0,9.855039170382413e-06,9.855039170382413e-06,9.855039170382413e-06
[n+],3.9224769134215955e-05,4.7576051167363376e-05,8.351282033147421e-06,8.351282033147421e-06
-,0.004343761122174798,0.004336387149436716,-7.373972738081679e-06,7.373972738081679e-06
[AlH],0.0,6.626664269739898e-06,6.626664269739898e-06,6.626664269739898e-06
[SiH],0.0,5.437262990555814e-06,5.437262990555814e-06,5.437262990555814e-06
[NH],0.0,4.417776179826599e-06,4.417776179826599e-06,4.417776179826599e-06
[S],0.0,4.07794724291686e-06,4.07794724291686e-06,4.07794724291686e-06
[n],0.0,3.7381183060071222e-06,3.7381183060071222e-06,3.7381183060071222e-06
[S-],1.6131398561690543e-05,1.2403756197205451e-05,-3.727642364485092e-06,3.727642364485092e-06
[Br],0.0,3.568203837552253e-06,3.568203837552253e-06,3.568203837552253e-06
[GeH3],0.0,3.398289369097384e-06,3.398289369097384e-06,3.398289369097384e-06
[F],0.0,2.888545963732776e-06,2.888545963732776e-06,2.888545963732776e-06
5,0.00028934634893811246,0.00028647579381490943,-2.8705551232030254e-06,2.8705551232030254e-06
[nH+],3.7696531375740006e-05,3.534220943861279e-05,-2.3543219371272166e-06,2.3543219371272166e-06
4,0.0033526140337054536,0.0033507133179300204,-1.9007157754332739e-06,1.9007157754332739e-06
[I],0.0,1.8690591530035611e-06,1.8690591530035611e-06,1.8690591530035611e-06
[GeH],0.0,1.8690591530035611e-06,1.8690591530035611e-06,1.8690591530035611e-06
[O+],0.0,1.8690591530035611e-06,1.8690591530035611e-06,1.8690591530035611e-06
[GeH2],0.0,1.8690591530035611e-06,1.8690591530035611e-06,1.8690591530035611e-06
[C-],0.0,1.699144684548692e-06,1.699144684548692e-06,1.699144684548692e-06
[P+],0.0,1.1894012791840843e-06,1.1894012791840843e-06,1.1894012791840843e-06
b,0.0,1.1894012791840843e-06,1.1894012791840843e-06,1.1894012791840843e-06
[NH2],0.0,1.019486810729215e-06,1.019486810729215e-06,1.019486810729215e-06
I,0.0001086746850471784,0.00010772577300038706,-9.489120467913399e-07,9.489120467913399e-07
[BH2-],0.0,6.796578738194767e-07,6.796578738194767e-07,6.796578738194767e-07
[N-],1.9187874078642437e-05,1.8520677061580743e-05,-6.671970170616943e-07,6.671970170616943e-07
p,0.0,5.097434053646075e-07,5.097434053646075e-07,5.097434053646075e-07
[S+],0.0,5.097434053646075e-07,5.097434053646075e-07,5.097434053646075e-07
[o+],0.0,3.3982893690973837e-07,3.3982893690973837e-07,3.3982893690973837e-07
[n-],4.414909080041622e-06,4.07794724291686e-06,-3.369618371247619e-07,3.369618371247619e-07
6,8.829818160083244e-06,8.49572342274346e-06,-3.340947373397845e-07,3.340947373397845e-07
[OH+],1.6980419538621624e-07,3.3982893690973837e-07,1.7002474152352214e-07,1.7002474152352214e-07
[PH+],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
[SiH2],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
[BH3-],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
[CH+],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
[SiH3],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
[PH],0.0,1.6991446845486919e-07,1.6991446845486919e-07,1.6991446845486919e-07
7,6.792167815448649e-07,6.796578738194767e-07,4.410922746118005e-10,4.410922746118005e-10
[NH-],6.792167815448649e-07,6.796578738194767e-07,4.410922746118005e-10,4.410922746118005e-10
