review_id,model,training_molecules,canonical_smiles
E026,REINVENT,42,Cc1ccc(P(c2ccccc2)c2ccc3c(c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)CCCC3)cc1C
E029,REINVENT,42,Cc1cc(C)c(Pc2ccccc2B2OC(C)(C)C(C)(C)O2)c(C)c1
E042,REINVENT,42,CC(C)(C)P(c1ccc(C2C3CCC2C(B(c2cccc(F)c2Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C3)cc1)C(C)(C)C
E050,REINVENT,42,CN1CCCC(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C1c1c(F)c(F)c(F)c(F)c1F
E051,REINVENT,42,Cc1cc(C)c(P(c2c(C)cc(C)c(C)c2C)C2C3CCC(C3)C2B(c2c(C)cccc2C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
E055,REINVENT,42,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3C(CCC4C(B(c5c(Cl)c(Cl)c(Cl)c(Cl)c5Cl)c5c(Cl)c(Cl)c(Cl)c(Cl)c5Cl)C(C(C)C)CCC43C)C3CCC(C)C32C)c(C)c1
E064,REINVENT,42,Fc1c(F)c(F)c(B(CC(c2ccccc2)N2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F
E006,GP-MoLFormer,166,Clc1c(Cl)c(Cl)c(B(CP(CCP(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
E013,GP-MoLFormer,166,CN(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
E016,GP-MoLFormer,166,Fc1c(F)c(F)c(C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)=C(c2ccccc2)P(Cc2ccccc2)c2ccccc2)c(F)c1F
E019,GP-MoLFormer,166,CC(C)(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
E023,GP-MoLFormer,166,Cc1cc(C)c(C2N(Cc3ccccc3B(c3c(C)c(C)c(-c4c(F)c(F)c(F)c(F)c4F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c3c(C(C)C)cccc3C2(C)C)c(C)c1
E024,GP-MoLFormer,166,Cc1cc(C)c(P(CCB(c2c(F)c(F)c(F)c(F)c2F)C(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2)c2c(C)cc(C)cc2C)c(C)c1
E027,GP-MoLFormer,166,Fc1c(F)c(F)c(B(CCPCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
E033,GP-MoLFormer,166,COB(OC)c1cc(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc(P(c2ccccc2)c2ccccc2)c1P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C
E038,GP-MoLFormer,166,CN1c2c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)ccc3c2c(cc2cccc(P(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c23)C1(C)C
E047,GP-MoLFormer,166,Cc1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)c(C)c1
E070,GP-MoLFormer,166,CC(C)B(c1cccc2cccc(P(C(C)C)C(C)C)c12)C(C)C
E072,GP-MoLFormer,166,CC1(C)B(c2ccccc2P(C2CCCCC2)C2CCCCC2)C(C)(C)C1(C)C
E001,MolGPT,166,CCN(CC)Cc1ccccc1B(Cl)Cl
E015,MolGPT,166,Cc1cc(C)c(P(c2ccccc2)c2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1
E030,MolGPT,166,Cc1cc(C)c(P(c2cc(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(C)cc2Cl)c2c(C)cc(C)cc2C)c(C)c1
E032,MolGPT,166,Cc1ccc(B(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)c(C)c1
E034,MolGPT,166,Fc1c(F)c(F)c(B(c2ccccc2P(c2ccccc2)c2cccc3c2C2=CC=CC3=CC=C2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
E044,MolGPT,166,CCC(CC)(CC)N(Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(C)cc(C)cc1C(C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E045,MolGPT,166,CC(C)(C)C(N1CCCCC1)C(C)(C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E049,MolGPT,166,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(F)c(C)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
E056,MolGPT,166,CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)c1ccc(P(c2ccccc2)c2ccccc2)cc1
E059,MolGPT,166,Cc1c(Cl)c(Cl)c(P(c2ccccc2)c2ccccc2)c(Cl)c1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E002,REINVENT,166,Cc1cc(C)c(B(c2ccc(CC(C)C)cc2P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1
E009,REINVENT,166,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(CP(C(C)(C)C)C(C)(C)C)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E010,REINVENT,166,Cc1cc2c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)cccc2c(-c2ccccc2)c1P(C(C)C)C(C)C
E012,REINVENT,166,CC1(C)C2CCC1C(P(c1ccccc1)c1ccccc1)C2B(c1c(F)c(F)c(F)c(F)c1F)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E017,REINVENT,166,Cc1cccc2c1B(c1ccccc1P(C(C)C)C(C)C)c1ccccc1-2
E022,REINVENT,166,Cc1cc(C)c(CN(Cc2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C(C)C)cc2C(C)(C)C)c(C)c1
E028,REINVENT,166,Cc1cc(C)c(P(c2cccc3c2-c2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)ccc(-c4ccccc4)c2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1
E037,REINVENT,166,Cc1ccc(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2ccccc2)c2c(C)cc(C)cc2C)cc1
E040,REINVENT,166,Cc1cc(C)c(P(c2ccc(C)cc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2cc(C)cc(C(C)(C)C)c2C)c(C)c1
E067,REINVENT,166,CCN(CC)C(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1ccccc1)c1c(C)cc(C)cc1C
E068,REINVENT,166,Cc1cc(C)c(B(c2cc(C)cc(C)c2C)c2cccc3c2Oc2c(P(c4ccccc4)c4ccccc4)cccc2C32CC(C)(C)c3ccccc32)c(C)c1
E071,REINVENT,166,CC1(C)COCC(C)(C)N1Cc1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Br)c1Br
