source,template,lb_atom,lb_substituent_1,lb_substituent_2,la_substituent_1,la_substituent_2,linker,raw_smiles,canonical_smiles,novel_vs_seed,snn_to_seed
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.4883720930232558
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.5476190476190477
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.5348837209302325
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.5348837209302325
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.5675675675675675
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.6666666666666666
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.7714285714285715
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.8529411764705882
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.8285714285714286
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentafluorophenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F),Fc1c(F)c(F)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(F)c1F,True,0.8285714285714286
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.5555555555555556
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.6571428571428571
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.7647058823529411
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.8484848484848485
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.8235294117647058
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,pentachlorophenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Clc1c(Cl)c(Cl)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)c(Cl)c1Cl,True,0.8235294117647058
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.5128205128205128
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.4186046511627907
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.4666666666666667
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.5227272727272727
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.5111111111111111
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,bis_cf3_phenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),FC(F)(F)c1cc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc(C(F)(F)F)c1,True,0.5111111111111111
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.3902439024390244
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.425
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.5128205128205128
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.5789473684210527
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.5641025641025641
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,p_tolyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccc(C)cc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)cc1,True,0.5641025641025641
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.37254901960784315
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.41304347826086957
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.4666666666666667
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.5227272727272727
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.5111111111111111
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,mesityl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccc(C)cc1)(c1c(C)cc(C)cc1C),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)cc1,True,0.5111111111111111
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.5116279069767442
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.5853658536585366
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.675
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.7435897435897436
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.725
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentafluorophenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccc(C)cc1)(c1c(F)c(F)c(F)c(F)c1F),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)cc1,True,0.725
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.5
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.575
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.6666666666666666
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.7368421052631579
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.717948717948718
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,pentachlorophenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccc(C)cc1)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,True,0.717948717948718
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.4883720930232558
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.40425531914893614
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.42
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.46938775510204084
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.46
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,p_tolyl,bis_cf3_phenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccc(C)cc1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,0.46
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C1,P(c1ccccc1)(c1ccccc1)CB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.41304347826086957
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.475
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.5641025641025641
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.631578947368421
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.6153846153846154
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,mesityl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1c(C)cc(C)cc1C)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,True,0.6153846153846154
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.5
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.6097560975609756
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.7
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.7692307692307693
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.75
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentafluorophenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1c(C)cc(C)cc1C)(c1c(F)c(F)c(F)c(F)c1F),Cc1cc(C)c(B(CCCCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,0.75
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,mesityl,pentachlorophenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1c(C)cc(C)cc1C)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl),Cc1cc(C)c(B(CP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,True,0.4883720930232558
