raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,is_unique_valid,generation_count,snn_to_train,novel_vs_train,novel_vs_all_seed,novel_vs_templates,novel_vs_all_reference,stereo_novel_vs_train,stereo_novel_vs_all_reference,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,no_negative_flags,is_strict_flp_like,is_novel_flp_like,is_final_candidate
Cc1cccc(C)c(P(c2c(Cl)c(Cl)c(Cl)c(Cl)c(C)cc2C)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(C)c(Cl)c1Cl)c(Cl)c(Cl)c(F)c(F)c2F)cc(C)cc2C)c(C2N(Cc3cccc(OB(c2c(Cl)c1Cl)P(c1ccc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(CB(c2c(F)c(F)c3F)cccc1P(c1c(F)c(Cl)c2Cl)c2Cl)C2C)C(B(c1c(Cl)c(Cl)c1Cl)c1Cl,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1B(c1c(Cl)c(C2C[B-](c3c(F)c2c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(B(C3CCCCC2(C)C[B-]2(c2c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccc(P(c2c(Cl)c(Cl)c(Cl)c(Cl)c2cc(C)c1,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C)cc(C)c([P+]2(c2c(F)c(F)c(F)c3F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c3F)CC(c2c(Cl)c2Cl)c2Cl)c(Cl)c2cc(C)cc1C,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)CCCCCC(CB(c2c(F)c(F)c2F)n1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc2)c2c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc1)CB(c2cc(C)cc3C2(C)CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1ccc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc1c(F)c(F)c(F)c(F)c1F)c1cccc3cccc1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccccc2P(c2cccc32)c(Cl)c(Cl)c(Cl)c2c(Cl)c1Cl)c(C)cc2C)c(Cl)c(Cl)c(Cl)c(B(CCP(C(C)(C)N1c1cccc1)B(c1c(F)c2F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c4cccc2)c2c(C)ccc2B(c2c(C,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCC1(C)C,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
