order,smiles,scaffold,in_25_percent,in_50_percent,in_100_percent
33,Cc1cc(C)c(C=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C(=C(B(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1)c1ccccc1,True,True,True
34,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(-c3ccccc3)cc2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,c1ccc(B(c2ccccc2)c2cc(-c3ccccc3)ccc2P(c2ccccc2)c2ccccc2)cc1,True,True,True
35,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)cc1,True,True,True
36,Cc1cc(C)c(P(c2ccccc2B2OCC(C)(C)CO2)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(P(c2ccccc2)c2ccccc2B2OCCCO2)cc1,True,True,True
37,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3CCC(C3)C2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,c1ccc(B(c2ccccc2)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)cc1,True,True,True
38,CC(C)C1CCCC(C(C)C)N1C(C)CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(CCN2CCCCC2)c2ccccc2)cc1,True,True,True
39,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCC2N2CCCCC2)c(F)c1F,c1ccc(B(c2ccccc2)C2CCCC2N2CCCCC2)cc1,True,True,True
40,CC1C[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P+]1(c1ccccc1)c1ccccc1,c1ccc([B-]2(c3ccccc3)CC[P+]2(c2ccccc2)c2ccccc2)cc1,True,True,True
41,CC(C)(C)c1cccc(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1,c1ccc(B(Oc2ccccn2)c2ccccc2)cc1,True,True,True
42,c1ccc(B2c3cccc4cccc(c34)P2c2ccccc2)cc1,c1ccc(B2c3cccc4cccc(c34)P2c2ccccc2)cc1,True,True,True
43,Bc1ccccc1N1C(C)(C)CCCC1(C)C,c1ccc(N2CCCCC2)cc1,False,True,True
44,CC(C)(C)c1cc(C(C)(C)C)n(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1,c1ccc(B(c2ccccc2)n2cccn2)cc1,False,True,True
45,CC(=CCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C(=CCP(c1ccccc1)c1ccccc1)CB(c1ccccc1)c1ccccc1,False,True,True
46,CCC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,False,True,True
47,CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C(B(c1ccccc1)c1ccccc1)=C(c1ccccc1)P(c1ccccc1)c1ccccc1,False,True,True
48,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C(=C(B(c1ccccc1)c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,False,True,True
49,CC(C)P(c1cccc2c1Oc1c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cccc1C2(C)C)C(C)C,c1ccc(B(c2ccccc2)c2cccc3c2Oc2ccccc2C3)cc1,False,True,True
50,FC(F)(F)c1cc(C(F)(F)F)c(BP(c2ccccc2)c2ccccc2)c(C(F)(F)F)c1,B(c1ccccc1)P(c1ccccc1)c1ccccc1,False,True,True
51,CN(C)c1ccccc1B(Cl)Cl,c1ccccc1,False,True,True
52,CC(C)P(c1cccc2cccc(B(C3CCCCC3)C3CCCCC3)c12)C(C)C,c1ccc2c(B(C3CCCCC3)C3CCCCC3)cccc2c1,False,True,True
53,CN1c2c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cccc2C(C)(C)c2cccc(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c21,c1ccc(B(c2ccccc2)c2cccc3c2Nc2c(cccc2B(c2ccccc2)c2ccccc2)C3)cc1,False,True,True
54,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,c1ccc(C2C[B-](c3ccccc3)(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)cc1,False,True,True
55,CC1(C)CCCC(C)(C)N1c1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(B(c2ccccc2)c2ccccc2N2CCCCC2)cc1,False,True,True
56,Clc1c(Cl)c(Cl)c(B(c2cc(-c3ccccc3)c3c(c2P(c2ccccc2)c2ccccc2)CCCC3)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)c2cc(-c3ccccc3)c3c(c2P(c2ccccc2)c2ccccc2)CCCC3)cc1,False,True,True
57,CCN(CC)C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1ccccc1,c1ccc(CB(c2ccccc2)c2ccccc2)cc1,False,True,True
58,c1ccc(B(c2ccccc2)c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,c1ccc(B(c2ccccc2)c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,False,True,True
59,Cc1cc(C)c(C2N(Cc3ccccc3B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c3ccccc3C2(C)C)c(C)c1,c1ccc(B(c2ccccc2)c2ccccc2CN2c3ccccc3CC2c2ccccc2)cc1,False,True,True
60,Cc1cc(C)c(P(c2ccccc2B2Oc3ccccc3O2)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)cc1,False,True,True
61,CC(C)N(C)c1ccc2ccccc2c1-c1c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)ccc2ccccc12,c1ccc(B(c2ccccc2)c2ccc3ccccc3c2-c2cccc3ccccc23)cc1,False,True,True
62,Cc1cc(C)c(P(c2cccc3c2-c2c(B(c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)cccc2-3)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(B(c2ccccc2)c2cccc3c2-c2c-3cccc2P(c2ccccc2)c2ccccc2)cc1,False,True,True
63,Cc1cc(C(C)(C)C)cc(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1P(c1ccccc1)c1ccccc1,c1ccc(B(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,False,True,True
64,CC1B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)CCP1c1ccccc1,c1ccc(B2CCP(c3ccccc3)C2)cc1,False,True,True
65,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2N2CCCCC2)c(F)c1F,c1ccc(B(c2ccccc2)C2CCCCC2N2CCCCC2)cc1,False,True,True
66,Fc1c(F)c(F)c(B(CCCCP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,False,True,True
67,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CCC[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,c1ccc([B-]2(c3ccccc3)CCC[P+]2(c2ccccc2)c2ccccc2)cc1,False,True,True
68,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc([B-](CC2CCC[PH2+]2)(c2ccccc2)c2ccccc2)cc1,False,True,True
69,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2cccc3c2oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc23)c(C)c1,c1ccc(B(c2ccccc2)c2cccc3c2oc2c(P(c4ccccc4)c4ccccc4)cccc23)cc1,False,True,True
70,CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1ccccc1)c1ccccc1,c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,False,True,True
71,Fc1c(F)c(F)c(B(Cc2ccccn2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,c1ccc(B(Cc2ccccn2)c2ccccc2)cc1,False,True,True
72,Cc1cc(C)c(C(CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)N2CCCCC2)c(C)c1,c1ccc(B(CC(c2ccccc2)N2CCCCC2)c2ccccc2)cc1,False,True,True
73,Cc1cc(C)c(N(c2ccccc2B(c2cc(C)c(C)cc2C)c2cc(C)cc(C)c2C)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(B(c2ccccc2)c2ccccc2N(c2ccccc2)c2ccccc2)cc1,False,True,True
74,CC(C)(C)C=C(Pc1ccccc1)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C=C(Pc1ccccc1)B(c1ccccc1)c1ccccc1,False,True,True
75,CCN(CC)C(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(C)cc(C)cc1C,c1ccc(CCB(c2ccccc2)c2ccccc2)cc1,False,True,True
76,Fc1c(F)c(F)c(B(C2=CC(c3ccccc3)C3CCCCC3=C2P(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,C1=C(B(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C2CCCCC2C1c1ccccc1,False,True,True
77,CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(B(c2ccccc2)C2C3CCC(C3)C2c2ccccc2)cc1,False,True,True
78,CC1(C)COCC(C)(C)N1Cc1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)c2ccccc2CN2CCOCC2)cc1,False,True,True
79,CC(C)(C)P(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,B(c1ccccc1)c1ccccc1,False,True,True
80,CC1(C)c2cccc(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,c1ccc(B(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)C3)cc1,False,True,True
81,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)c(C)c1,c1ccc(B(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,False,True,True
82,Cc1cc(C)c(P(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2ccccc2)c2ccccc2)cc1,False,True,True
83,CC(C)C1CCC2(C)c3ccccc3N(Cc3ccccc3B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)C2(c2ccccc2)C1,c1ccc(B(c2ccccc2)c2ccccc2CN2c3ccccc3C3CCCCC32c2ccccc2)cc1,False,True,True
84,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,c1ccc(B(c2ccccc2)c2ccc(P(c3ccccc3)c3ccccc3)cc2)cc1,False,False,True
85,CC(C)(C)c1cccc(CCCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)n1,c1ccc(B(CCCCc2ccccn2)c2ccccc2)cc1,False,False,True
86,CC=C(CP(c1ccccc1)c1ccccc1)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C=C(CP(c1ccccc1)c1ccccc1)B(c1ccccc1)c1ccccc1,False,False,True
87,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2CCCCC2P(c2ccccc2)c2ccccc2)cc1,False,False,True
88,Cc1cc(C)c(P(CCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)CCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,c1ccc(B(CCP(CCB(c2ccccc2)c2ccccc2)c2ccccc2)c2ccccc2)cc1,False,False,True
89,CC1(C)CCCC(C)(C)N1c1ccccc1B(Cl)c1c(F)c(F)c(F)c(F)c1F,B(c1ccccc1)c1ccccc1N1CCCCC1,False,False,True
90,Cc1cc(-c2ccccc2)cc(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1P(c1ccccc1)c1ccccc1,c1ccc(B(c2ccccc2)c2cc(-c3ccccc3)ccc2P(c2ccccc2)c2ccccc2)cc1,False,False,True
91,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(F)c1F,c1ccc(B(c2ccccc2)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)cc1,False,False,True
92,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)cc1,False,False,True
93,CC(C)C1CCCC(C(C)C)N1C(C)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(B(CCN2CCCCC2)c2ccccc2)cc1,False,False,True
94,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCC2N2CCCCC2)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2CCCC2N2CCCCC2)cc1,False,False,True
95,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,c1ccc([B-]2(c3ccccc3)CC[P+]2(c2ccccc2)c2ccccc2)cc1,False,False,True
96,CC(C)(C)c1cccc(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)n1,c1ccc(B(Oc2ccccn2)c2ccccc2)cc1,False,False,True
97,Cc1cc(C)c(B2c3cccc4cccc(c34)P2c2c(C)cc(C)cc2C)c(C)c1,c1ccc(B2c3cccc4cccc(c34)P2c2ccccc2)cc1,False,False,True
98,CC1(C)CCCC(C)(C)N1c1ccccc1BCl,c1ccc(N2CCCCC2)cc1,False,False,True
99,CC(=CCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CP(c1ccccc1)c1ccccc1,C(=CCP(c1ccccc1)c1ccccc1)CB(c1ccccc1)c1ccccc1,False,False,True
100,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C(B(c1ccccc1)c1ccccc1)=C(c1ccccc1)P(c1ccccc1)c1ccccc1,False,False,True
101,Bc1ccccc1N(C)C,c1ccccc1,False,False,True
102,CN1c2c(B(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cccc2C(C)(C)c2cccc(B(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c21,c1ccc(B(c2ccccc2)c2cccc3c2Nc2c(cccc2B(c2ccccc2)c2ccccc2)C3)cc1,False,False,True
103,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,c1ccc(C2C[B-](c3ccccc3)(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)cc1,False,False,True
104,CC1(C)CCCC(C)(C)N1c1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)c2ccccc2N2CCCCC2)cc1,False,False,True
105,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cc(-c3ccccc3)c3c2CCCC3)c(C)c1,c1ccc(B(c2ccccc2)c2cc(-c3ccccc3)c3c(c2P(c2ccccc2)c2ccccc2)CCCC3)cc1,False,False,True
